Parameter,Variable,Variable Location
BAT_LOW_THR,_param_handles.low_thr,././src/lib/battery/battery.cpp
BAT_CRIT_THR,_param_handles.crit_thr,././src/lib/battery/battery.cpp
BAT_EMERGEN_THR,_param_handles.emergen_thr,././src/lib/battery/battery.cpp
BAT_V_EMPTY,_param_handles.v_empty_old,././src/lib/battery/battery.cpp
BAT_V_CHARGED,_param_handles.v_charged_old,././src/lib/battery/battery.cpp
BAT_N_CELLS,_param_handles.n_cells_old,././src/lib/battery/battery.cpp
BAT_CAPACITY,_param_handles.capacity_old,././src/lib/battery/battery.cpp
BAT_V_LOAD_DROP,_param_handles.v_load_drop_old,././src/lib/battery/battery.cpp
BAT_R_INTERNAL,_param_handles.r_internal_old,././src/lib/battery/battery.cpp
BAT_SOURCE,_param_handles.source_old,././src/lib/battery/battery.cpp
MPC_ACC_HOR,_handle_param_acceleration_hor,././src/modules/navigator/precland.cpp
MPC_XY_CRUISE,_handle_param_xy_vel_cruise,././src/modules/navigator/precland.cpp
VT_B_DEC_MSS,_handle_back_trans_dec_mss,././src/modules/navigator/navigator_main.cpp
VT_B_REV_DEL,_handle_reverse_delay,././src/modules/navigator/navigator_main.cpp
SENS_DPRES_OFF,_parameter_handles.diff_pres_offset_pa,././src/modules/sensors/sensors.cpp
SENS_DPRES_ANSC,_parameter_handles.diff_pres_analog_scale,././src/modules/sensors/sensors.cpp
CAL_AIR_CMODEL,_parameter_handles.air_cmodel,././src/modules/sensors/sensors.cpp
CAL_AIR_TUBELEN,_parameter_handles.air_tube_length,././src/modules/sensors/sensors.cpp
CAL_AIR_TUBED_MM,_parameter_handles.air_tube_diameter_mm,././src/modules/sensors/sensors.cpp
RC_MAP_TRANS_SW,trans_parm,././src/modules/commander/Arming/PreFlightCheck/checks/rcCalibrationCheck.cpp
COM_ARM_AUTH,param_arm_parameters,././src/modules/commander/Arming/ArmAuthorization/ArmAuthorization.cpp
MC_AIRMODE,param_airmode,././src/modules/commander/Commander.cpp
RC_MAP_ARM_SW,param_rc_map_arm_switch,././src/modules/commander/Commander.cpp
SENS_BOARD_X_OFF,roll_offset_handle,././src/modules/commander/level_calibration.cpp
SENS_BOARD_Y_OFF,pitch_offset_handle,././src/modules/commander/level_calibration.cpp
VT_IDLE_PWM_MC,_params_handles.idle_pwm_mc,././src/modules/vtol_att_control/vtol_att_control_main.cpp
VT_MOT_ID,_params_handles.vtol_motor_id,././src/modules/vtol_att_control/vtol_att_control_main.cpp
VT_FW_PERM_STAB,_params_handles.vtol_fw_permanent_stab,././src/modules/vtol_att_control/vtol_att_control_main.cpp
VT_TYPE,_params_handles.vtol_type,././src/modules/vtol_att_control/vtol_att_control_main.cpp
VT_ELEV_MC_LOCK,_params_handles.elevons_mc_lock,././src/modules/vtol_att_control/vtol_att_control_main.cpp
